"Districts","Total Experiment","Total Conduct","Pending"
"ARARIA",1105,0,1105
"ARWAL",340,0,340
"AURANGABAD",1040,0,1040
"BANKA",940,0,940
"BEGUSARAI",1330,0,1330
"BHAGALPUR",1230,0,1230
"BHOJPUR",1170,0,1170
"BUXAR",720,0,720
"DARBHANGA",1655,0,1655
"E CHAMPARAN",2075,0,2075
"GAYA",1680,0,1680
"GOPALGANJ",1190,0,1190
"JAMUI",775,0,775
"JEHANABAD",475,0,475
"KAIMUR",760,0,760
"KATIHAR",1200,0,1200
"KHAGARIA",655,0,655
"KISHANGANJ",645,0,645
"LAKHISARAI",410,0,410
"MADHEPURA",860,0,860
"MADHUBANI",2030,0,2030
"MUNGER",520,0,520
"MUZAFFARPUR",1945,0,1945
"NALANDA",1275,0,1275
"NAWADA",955,0,955
"PATNA",1730,0,1730
"PURNIA",1275,0,1275
"ROHTAS",1260,0,1260
"SAHARSA",770,0,770
"SAMASTIPUR",1920,0,1920
"SARAN",1690,0,1690
"SHEIKHPURA",280,0,280
"SHEOHAR",270,0,270
"SITAMARHI",1400,0,1400
"SIWAN",1480,0,1480
"SUPAUL",920,0,920
"VAISHALI",1465,0,1465
"W CHAMPARAN",1600,0,1600